INFO 2025-05-20 13:55:50,694 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-05-20 13:55:50,703 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-05-20 13:55:50,704 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-05-20 13:55:50,704 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-05-20 13:55:50,708 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-05-20 13:55:50,711 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-20 13:55:50,721 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-05-20 13:55:53,013 basehttp "GET /admin/employer_app/employer/1/change/ HTTP/1.1" 200 13850
INFO 2025-05-20 13:55:53,039 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-05-20 13:59:03,771 log Method Not Allowed: /api/auth/signup/
WARNING 2025-05-20 13:59:03,772 basehttp "GET //api/auth/signup/ HTTP/1.1" 405 5574
INFO 2025-05-20 13:59:03,803 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-05-20 13:59:03,817 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-05-20 13:59:03,818 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-05-20 13:59:03,818 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-05-20 13:59:03,818 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-05-20 13:59:03,818 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-05-20 13:59:03,820 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-05-20 13:59:03,837 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-05-20 13:59:03,837 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-05-20 13:59:03,838 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-05-20 13:59:03,840 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-05-20 13:59:03,840 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-05-20 13:59:52,105 services {'event': 'UserActivity:signup', 'user_id': 2, 'user_email': 'user@example.com', 'description': 'User registered', 'ip': '127.0.0.1'}
INFO 2025-05-20 13:59:52,112 basehttp "POST /api/auth/signup/ HTTP/1.1" 201 6499
WARNING 2025-05-20 14:05:20,091 log Not Found: /api/auth/Login/
WARNING 2025-05-20 14:05:20,092 basehttp "GET /api/auth/Login/ HTTP/1.1" 404 3582
WARNING 2025-05-20 14:07:04,679 log Method Not Allowed: /api/auth/login/
WARNING 2025-05-20 14:07:04,680 basehttp "GET /api/auth/login/ HTTP/1.1" 405 5560
INFO 2025-05-20 14:07:04,710 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,720 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,722 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,722 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,722 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,723 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,723 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,725 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,733 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,734 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,734 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2025-05-20 14:07:04,771 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2025-05-20 14:07:50,075 services {'event': 'UserActivity:login', 'user_id': 2, 'user_email': 'user@example.com', 'description': 'User logged in', 'ip': '127.0.0.1'}
INFO 2025-05-20 14:07:50,081 basehttp "POST /api/auth/login/ HTTP/1.1" 200 6473
